Team,Name,Capacity,Latitude,Longitude,Easting,Northing,GridReference
Aberdeen,Pittodrie,22199,57.159302,-2.08872,394732,807607,NJ947076
Accrington Stanley,Crown Ground,5057,53.7654,-2.37106,375638,429958,SD756299
AFC Wimbledon/Kingstonian,Kingsmeadow,4720,51.405102,-0.281984,519596,168742,TQ195687
Airdrie United,New Broomfield,10172,55.8601,-3.95997,277423,664727,NS774647
Albion Rovers,Cliftonhill,2496,55.860199,-4.01145,274202,664830,NS742648
Aldershot Town,Recreation Ground,7100,51.248402,-0.754869,487001,150650,SU870506
Alloa Athletic,Recreation Park,3412,56.1166,-3.77865,289506,692964,NS895929
Annan Athletic,Galabank,2007,54.994801,-3.2612,319410,567418,NY194674
Arbroath,Gayfield Park,5940,56.552299,-2.5914,363741,740191,NO637401
Arsenal,Emirates Stadium,60361,51.554901,-0.108436,531236,185697,TQ312856
Aston Villa,Villa Park,42788,52.509201,-1.88508,407897,290151,SP078901
Ayr United,Somerset Park,10243,55.4697,-4.61996,234482,622661,NS344226
Barnet,Underhill Stadium,5260,51.6464,-0.191789,525206,195726,TQ252957
Barnsley,Oakwell,23009,53.552399,-1.46756,435373,406328,SE353063
Berwick Rangers,Shielfield Park,4131,55.759998,-2.01599,399095,651849,NT990518
Birmingham City,St Andrews,30009,52.475601,-1.86824,409047,286416,SP090864
Blackburn Rovers,Ewood Park,31154,53.7286,-2.48937,367810,425911,SD678259
Blackpool,Bloomfield Road,16220,53.8046,-3.04834,331057,434765,SD310347
Bolton Wanderers,Macron Stadium,28723,53.580502,-2.53571,364629,409456,SD646094
Bournemouth,Seward Stadium,10700,50.735199,-1.83839,411501,92855,SZ115928
Bradford City,Valley Parade,25136,53.804199,-1.75902,415968,434238,SE159342
Brechin City,Glebe Park,3960,56.735298,-2.6565,359934,760597,NO599605
Brentford,Griffin Park,12763,51.488201,-0.302621,517946,177949,TQ179779
Brighton and Hove Albion,Amex Stadium,22374,50.860901,-0.08014,535213,108577,TQ352085
Bristol City,Ashton Gate,21497,51.439999,-2.62021,356989,171405,ST569714
Bristol Rovers,Memorial Stadium,12011,51.486198,-2.58315,359605,176522,ST596765
Burnley,Turf Moor,22546,53.788799,-2.23018,384933,432522,SD849325
Burton Albion,Pirelli Stadium,6912,52.821899,-1.62708,425228,324994,SK252249
Bury,Gigg Lane,11840,53.580502,-2.29487,380575,409363,SD805093
Cambridge United,Abbey Stadium,10847,52.212799,0.154298,547284,259362,TL472593
Cardiff City,Cardiff City Stadium,26828,51.4729,-3.20413,316464,175569,ST164755
Carlisle United,Brunton Park,18202,54.8955,-2.91365,341500,556023,NY415560
Celtic,Celtic Park,60832,55.849701,-4.20561,262015,664033,NS620640
Charlton Athletic,The Valley,27111,51.4865,0.036757,541513,178361,TQ415783
Chelsea,Stamford Bridge,41837,51.481602,-0.191034,525711,177401,TQ257774
Cheltenham Town,Whaddon Road,7066,51.9062,-2.06021,395955,223075,SO959230
Chesterfield,B2net Stadium,10400,53.253502,-1.4272,438314,373096,SK383730
Clyde,Broadwood Stadium,8029,55.944698,-4.0379,272824,674281,NS728742
Colchester United,Weston Homes Community Stadium,10084,51.923401,0.897861,599361,228954,TL993289
Coventry City,Ricoh Arena,32609,52.448101,-1.49563,434376,283468,SP343834
Cowdenbeath,Central Park,4370,56.108799,-3.34717,316315,691488,NT163914
Crawley Town,Broadfield Stadium,5996,51.099602,-0.194579,526510,134916,TQ265349
Crewe Alexandra,Alexandra Stadium,10153,53.087502,-2.43569,370916,354565,SJ709545
Crystal Palace,Selhurst Park,26309,51.3983,-0.085455,533284,168324,TQ332683
Dagenham and Redbridge,Victoria Road,6078,51.547798,0.159739,549850,185422,TQ498854
Derby County,Pride Park,33597,52.914902,-1.44727,437265,335418,SK372354
Doncaster Rovers,Keepmoat Stadium,15231,53.509899,-1.11382,458867,401833,SE588018
Dumbarton,Dumbarton Football Stadium,2025,55.9384,-4.56162,240097,674669,NS400746
Dundee,Dens Park,11856,56.474701,-2.97352,340128,731822,NO401318
Dundee United,Tannadice Park,14209,56.4748,-2.96902,340405,731829,NO404318
Dunfermline,East End Park,11380,56.0756,-3.44196,310343,687912,NT103879
East Fife,Bayview Stadium,2000,56.1889,-2.99914,338088,700035,NO380000
Elgin City,Borough Briggs,4927,57.651798,-3.3209,321266,863199,NJ212631
England,Wembley,90000,51.555901,-0.279543,519372,185515,TQ193855
Everton,Goodison Park,40157,53.438702,-2.96619,335914,393982,SJ359939
Exeter City,"St James Park, Exeter",8541,50.730701,-3.52109,292745,93446,SX927934
Falkirk,Falkirk Stadium,9200,56.005299,-3.75262,290810,680537,NS908805
Fleetwood Town,Highbury Stadium,5094,53.9165,-3.02484,332785,447192,SD327471
Forfar Athletic,Station Park,5177,56.652302,-2.88492,345841,751516,NO458515
Fulham,Craven Cottage,25700,51.474899,-0.221619,523606,176603,TQ236766
Gillingham,Priestfield Stadium,11582,51.384399,0.560367,578260,168150,TQ782681
Greenock Morton,Cappielow Park,19612,55.941399,-4.72719,229771,675398,NS297753
Hamilton Academical,New Douglas Park,6078,55.782101,-4.058,271031,656226,NS710562
Hartlepool United,Victoria Park,7856,54.689098,-1.21274,450847,532957,NZ508329
Heart of Midlothian,Tynecastle,17420,55.938801,-3.2325,323109,672435,NT231724
Hereford United,Edgar Street,5300,52.060699,-2.71774,350889,240501,SO508405
Hibernian,Easter Road,20421,55.961601,-3.16521,327355,674900,NT273748
Huddersfield Town,The Galpharm Stadium,24500,53.654301,-1.76837,415407,417558,SE154175
Hull City,KC Stadium,25586,53.746498,-0.368009,507722,429027,TA077290
Inverness Caledonian Thistle,The Caledonian Stadium,7918,57.495098,-4.21751,267194,847156,NH671471
